code,nom_commune,valeur_fonciere
1337,Saint-Bénigne,254564.21094827584
1338,Groslée-Saint-Benoit,212889.90967741935
1339,Saint-Bernard,572339.2744186047
1342,Sainte-Croix,434928.18925925926
1343,Saint-Cyr-sur-Menthon,298210.6701357466
1344,Saint-Denis-lès-Bourg,250898.70526455028
1345,Saint-Denis-en-Bugey,214974.4684385382
1346,Saint-Didier-d'Aussiat,199202.30060240964
1347,Saint-Didier-de-Formans,498064.2837837838
1348,Saint-Didier-sur-Chalaronne,254447.2283464567
1349,Saint-Éloi,373888.61971830984
1350,Saint-Étienne-du-Bois,274010.8967723343
1351,Saint-Étienne-sur-Chalaronne,245846.79057591624
1352,Saint-Étienne-sur-Reyssouze,173913.8845263158
1353,Sainte-Euphémie,383658.3870967742
1354,Saint-Genis-Pouilly,619493.2338950202
1355,Saint-Genis-sur-Menthon,232724.91838709675
1356,Saint-Georges-sur-Renon,347058.6666666667
1357,Saint-Germain-de-Joux,135120.07407407407
1358,Saint-Germain-les-Paroisses,184435.89436363635
1359,Saint-Germain-sur-Renon,279860.0
1360,Saint-Jean-de-Gonville,441377.0701754386
1361,Saint-Jean-de-Niost,299540.4117741936
1362,Saint-Jean-de-Thurigneux,397256.9793814433
1363,Saint-Jean-le-Vieux,191966.8555319149
1364,Saint-Jean-sur-Reyssouze,149458.2584269663
1365,Saint-Jean-sur-Veyle,239334.06993006993
1366,Sainte-Julie,267364.5569620253
1367,Saint-Julien-sur-Reyssouze,175520.738317757
1368,Saint-Julien-sur-Veyle,271813.28125
1369,Saint-Just,291646.93178294576
1370,Saint-Laurent-sur-Saône,209582.5825426945
1371,Saint-Marcel,274112.5131578947
1372,Saint-Martin-de-Bavel,187453.86646153848
1373,Saint-Martin-du-Frêne,213769.60714285713
1374,Saint-Martin-du-Mont,249839.73493975904
1375,Saint-Martin-le-Châtel,233939.54545454544
1376,Saint-Maurice-de-Beynost,1210841.8423964165
1378,Saint-Maurice-de-Gourdans,354654.9281609195
1379,Saint-Maurice-de-Rémens,222942.5619047619
1380,Saint-Nizier-le-Bouchoux,162011.80681818182
1381,Saint-Nizier-le-Désert,343283.3461538461
1382,Sainte-Olive,328950.76923076925
1383,Saint-Paul-de-Varax,231189.91124260356
1384,Saint-Rambert-en-Bugey,116883.0913486005
1385,Saint-Rémy,364620.6436781609
1386,Saint-Sorlin-en-Bugey,214974.4537815126
1387,Saint-Sulpice,304184.8
1388,Saint-Trivier-de-Courtes,163531.12844036697
1389,Saint-Trivier-sur-Moignans,301406.7403846154
1390,Saint-Vulbas,398734.1182926829
1391,Salavre,238487.66666666666
1392,Samognat,156312.0
1393,Sandrans,347940.6976744186
1396,Sault-Brénaz,198064.26753246752
1397,Sauverny,625737.5954198473
1398,Savigneux,342071.95443850267
1399,Ségny,414162.7405850091
1400,Seillonnaz,106500.0
1401,Sergy,554005.6085858586
1402,Sermoyer,159652.77168141594
1403,Serrières-de-Briord,201025.55442708335
1404,Serrières-sur-Ain,170113.19214285715
1405,Servas,227543.28229508197
1406,Servignat,234066.8148148148
1407,Seyssel,195626.71153846153
1408,Simandre-sur-Suran,153523.5294117647
1410,Sonthonnax-la-Montagne,202464.86486486485
1411,Souclin,139341.25
1412,Sulignat,303930.4948453608
1415,Talissieu,167053.03125
1416,Tenay,82023.10679611651
1418,Thil,435858.80810457515
1419,Thoiry,529479.306472197
1420,Thoissey,265644.4515050167
1421,Torcieu,160446.7525773196
1422,Tossiat,302571.4854871795
1423,Toussieux,383944.16701754386
1424,Tramoyes,407336.99328859063
1425,La Tranclière,290915.4
1426,Val-Revermont,203446.62814696485
1427,Trévoux,391420.82205438067
1428,Valeins,328744.44444444444
1429,Vandeins,258036.60416666666
1430,Varambon,171172.09058252425
1431,Vaux-en-Bugey,195430.1870503597
1432,Verjon,176632.275
1433,Vernoux,129999.27027027027
1434,Versailleux,405592.7840425532
1435,Versonnex,507015.231884058
1436,Vesancy,528184.654385965
1437,Vescours,161320.6896551724
1439,Vésines,211050.0
1441,Vieu-d'Izenave,178777.45098039217
1443,Villars-les-Dombes,270578.6319461078
1444,Villebois,159401.43263157894
1445,Villemotier,193537.8503937008
1446,Villeneuve,294766.89999999997
1447,Villereversure,178880.71014492755
1448,Villes,208783.41350877195
1449,Villette-sur-Ain,262627.485
1450,Villieu-Loyes-Mollon,301579.2583108108
1451,Viriat,764828.9271096345
1452,Virieu-le-Grand,122283.19341563786
1453,Arvière-en-Valromey,168283.32258064515
1454,Virignin,259783.9097744361
1456,Vongnes,285000.0
1457,Vonnas,213735.04322580647
2001,Abbécourt,94090.29090909091
2002,Achery,115664.0506329114
2003,Acy,157392.33615384615
2004,Agnicourt-et-Séchelles,95043.75
2005,Aguilcourt,418303.90625
2006,Aisonville-et-Bernoville,70785.76051282052
2007,Aizelles,71900.0
2008,Aizy-Jouy,125155.10204081633
2009,Alaincourt,130132.72513513514
2010,Allemant,161900.0
2011,Ambleny,201342.93633720928
2012,Ambrief,95300.0
2013,Amifontaine,121001.35135135135
2014,Amigny-Rouy,167320.6896551724
2015,Ancienville,114466.66666666667
2016,Andelain,128442.0
2017,Anguilcourt-le-Sart,83341.35319148937
2018,Anizy-le-Grand,143810.49117870722
2019,Annois,127453.88888888889
2020,Any-Martin-Rieux,133037.625
2021,Archon,76000.0
2022,Arcy-Sainte-Restitue,168459.15596330276
2023,Armentières-sur-Ourcq,163803.42307692306
2024,Arrancy,229487.0
2025,Artemps,145500.0
2027,Assis-sur-Serre,97814.19354838709
2028,Athies-sous-Laon,140238.43972125437
2029,Attilly,136071.9111111111
2030,Aubencheul-aux-Bois,92465.78947368421
2031,Aubenton,68866.08196721312
2032,Aubigny-aux-Kaisnes,90042.85714285714
2033,Aubigny-en-Laonnois,95464.16666666667
2034,Audignicourt,110147.76470588235
2035,Audigny,169406.52173913043
2036,Augy,86285.0
2037,Aulnois-sous-Laon,186234.92173913043
2038,Les Autels,100631.42857142857
2039,Autremencourt,89300.0
2040,Autreppes,87087.87878787878
2041,Autreville,137057.31707317074
2042,Azy-sur-Marne,161830.23255813954
2043,Bagneux,117028.57142857143
2044,Bancigny,280814.6666666667
2046,Barenton-Bugny,128675.15151515152
2047,Barenton-Cel,126980.0
2048,Barenton-sur-Serre,139155.55555555556
2049,Barisis-aux-Bois,141407.7109375
2050,Barzy-en-Thiérache,102527.77777777778
2051,Barzy-sur-Marne,158085.83673469388
2052,Bassoles-Aulers,113553.84615384616
2053,Vallées en Champagne,133918.18181818182
2054,Bazoches-sur-Vesles,174133.33333333334
2055,Beaumé,74666.66666666667
2056,Beaumont-en-Beine,108793.54838709677
2057,Beaurevoir,92923.80681818182
2058,Beaurieux,153726.2831858407
2059,Beautor,89492.04223918576
2060,Beauvois-en-Vermandois,124244.63157894737
2061,Becquigny,91430.3111111111
2062,Belleau,180173.33333333334
2063,Bellenglise,114879.16666666667
2064,Belleu,152742.18411311053
2065,Bellicourt,85088.45054945054
2066,Benay,132563.68421052632
2067,Bergues-sur-Sambre,121120.78125
2068,Berlancourt,139833.75
2069,Berlise,78133.33333333333
2070,Bernot,134384.47368421053
2071,Berny-Rivière,160230.65
2072,Berrieux,150976.4705882353
2073,Berry-au-Bac,176202.02816901408
2074,Bertaucourt-Epourdon,103674.09756097561
2075,Berthenicourt,146088.88888888888
2076,Bertricourt,173175.0
2078,Besmé,110843.75
2079,Besmont,118201.72413793103
2080,Besny-et-Loizy,154833.33333333334
2081,Béthancourt-en-Vaux,125266.76470588235
2082,Beugneux,105181.81818181818
2083,Beuvardes,123391.00702702702
2084,Bézu-le-Guéry,169699.2
2085,Bézu-Saint-Germain,216985.77777777778
2086,Bichancourt,130999.65217391304
2087,Bieuxy,79241.0
2088,Bièvres,147612.5
2089,Billy-sur-Aisne,154242.27816901408
2090,Billy-sur-Ourcq,140156.75675675675
2091,Blanzy-lès-Fismes,240904.0
2093,Blérancourt,124281.15942028986
2094,Blesmes,183156.75555555554
2095,Bohain-en-Vermandois,85237.03358208956
2096,Bois-lès-Pargny,103650.71428571429
2097,Boncourt,127332.08333333333
2098,Bonneil,135273.33333333334
2099,Bonnesvalyn,206100.172
2100,Bony,58235.294117647056
2101,Bosmont-sur-Serre,121539.2240909091
2102,Bouconville-Vauclair,151263.15789473685
2103,Boué,90166.08556149733
2104,Bouffignereux,168806.92307692306
2105,Bouresches,135293.94736842104
2106,Bourg-et-Comin,135525.47619047618
2107,Bourguignon-sous-Coucy,111000.0
2108,Bourguignon-sous-Montbavin,239728.53846153847
2109,La Bouteille,100303.15789473684
2110,Braine,172497.58980830671
2111,Brancourt-en-Laonnois,184197.05263157896
2112,Brancourt-le-Grand,83761.78571428571
2114,Brasles,166407.1088362069
2115,Braye-en-Laonnois,131049.69696969698
2116,Braye-en-Thiérache,101687.5
2117,Bray-Saint-Christophe,160000.0
2118,Braye,124984.61538461539
2119,Brécy,123212.90322580645
2120,Brenelle,111000.0
2121,Breny,103855.435
2122,Brie,95000.0
2123,Brissay-Choigny,135308.57142857142
2124,Brissy-Hamégicourt,110952.79111111112
2125,Brumetz,164155.0
2126,Brunehamel,103849.47368421052
2127,Bruyères-sur-Fère,115172.41379310345
2128,Bruyères-et-Montbérault,174316.6513761468
2129,Bruys,80000.0
2130,Bucilly,104510.4
2131,Bucy-le-Long,174891.9343169399
2132,Bucy-lès-Cerny,112200.0
2133,Bucy-lès-Pierrepont,72771.59574468085
2134,Buire,96937.55118110236
2135,Buironfosse,83539.23404255319
2136,Burelles,37923.07692307692
2137,Bussiares,182017.64705882352
2138,Buzancy,189758.46153846153
2139,Caillouël-Crépigny,129537.5
2140,Camelin,135987.24137931035
2141,La Capelle,97136.05075757575
2142,Castres,158999.04761904763
2143,Le Catelet,87548.07692307692
2144,Caulaincourt,188793.33333333334
2145,Caumont,132909.9
2146,Celles-lès-Condé,183555.55555555556
2148,Celles-sur-Aisne,210370.96153846153
2149,Cerizy,71000.0
2150,Cerny-en-Laonnois,110437.7
2151,Cerny-lès-Bucy,178828.57142857142
2152,Cerseuil,76957.14285714286
2153,Cessières-Suzy,138125.06728971962
2154,Chacrise,178663.81818181818
2155,Chaillevois,105817.24137931035
2156,Chalandry,117672.09302325582
2157,Chambry,372635.3846153846
2158,Chamouille,137760.28787037038
2159,Champs,122642.85714285714
2160,Chaourse,74234.28813559322
2162,La Chapelle-sur-Chézy,119365.38461538461
2163,Charly-sur-Marne,189259.72756410256
2164,Le Charmel,154158.76288659795
2165,Charmes,129499.99416342413
2166,Chartèves,161452.1739130435
2167,Chassemy,142688.84684684683
2168,Château-Thierry,366717.0423824451
2169,Châtillon-lès-Sons,44381.25
2170,Châtillon-sur-Oise,166528.57142857142
2171,Chaudardes,109365.21739130435
2172,Chaudun,136121.9512195122
2173,Chauny,142482.95063189568
2174,Chavignon,162343.6090225564
2175,Chavigny,153925.0
2176,Chavonne,132811.53846153847
2177,Chérêt,122488.63636363637
2178,Chermizy-Ailles,84400.0
2179,Chéry-Chartreuve,141087.8976744186
2180,Chéry-lès-Pouilly,131276.9801980198
2181,Chéry-lès-Rozoy,51556.25
2182,Chevennes,66438.75
2183,Chevregny,127878.0
2184,Chevresis-Monceau,96570.58823529411
2185,Chézy-en-Orxois,174843.33333333334
2186,Chézy-sur-Marne,167203.51111111112
2187,Chierry,245519.04166666666
2188,Chigny,250302.77777777778
2189,Chivres-en-Laonnois,94442.85714285714
2190,Chivres-Val,234843.88888888888
2191,Chivy-lès-Étouvelles,123860.71428571429
2192,Chouy,150426.82926829267
2193,Cierges,154681.81818181818
2194,Cilly,44125.181818181816
2195,Ciry-Salsogne,158108.66666666666
2196,Clacy-et-Thierret,95207.8
2197,Clairfontaine,95827.4074074074
2198,Clamecy,149739.69696969696
2199,Clastres,121199.40341463414
2200,Clermont-les-Fermes,161490.0
2201,Cœuvres-et-Valsery,213512.75134146342
2203,Coincy,141491.98924731184
2204,Coingt,89904.28571428571
2205,Colligis-Crandelain,90852.27272727272
2206,Colonfay,137227.27272727274
2207,Commenchon,150427.58620689655
2208,Concevreux,140428.125
2209,Condé-en-Brie,90272.48148148147
2210,Condé-sur-Aisne,154499.5
2211,Condé-sur-Suippe,163171.13333333333
2212,Condren,125618.46210526317
2213,Connigis,131149.4642857143
2214,Contescourt,154000.0
2215,Corbeny,139657.36893203884
2216,Corcy,187747.32142857142
2217,Coucy-le-Château-Auffrique,124871.40972222222
2218,Coucy-lès-Eppes,122632.53968253969
2219,Coucy-la-Ville,108275.0
2220,Coulonges-Cohan,214222.64864864864
2221,Coupru,211270.37037037036
2223,Courboin,129230.76923076923
2224,Courcelles-sur-Vesle,167702.9411764706
2225,Courchamps,146653.84615384616
2226,Courmelles,173260.16294117647
2227,Courmont,151200.0
2228,Courtemont-Varennes,184306.81818181818
2229,Courtrizy-et-Fussigny,80665.0
2230,Couvrelles,155261.11111111112
2231,Couvron-et-Aumencourt,135673.1325301205
2232,Coyolles,196900.4375
2233,Cramaille,93205.55555555556
2234,Craonne,147400.0
2235,Craonnelle,114499.44444444444
2236,Crécy-au-Mont,158981.23076923078
2237,Crécy-sur-Serre,100562.38759689922
2238,Crépy,119844.79768786127
2239,Crézancy,129239.68387096774
2240,Croix-Fonsomme,92601.11111111111
2241,La Croix-sur-Ourcq,136232.22222222222
2242,Crouttes-sur-Marne,139427.27272727274
2243,Crouy,316636.72541666665
2244,Crupilly,22000.0
2245,Cuffies,160780.1323391813
2246,Cugny,110984.80392156863
2248,Cuirieux,142318.18181818182
2249,Cuiry-Housse,155717.0
2250,Cuiry-lès-Chaudardes,97615.0
2251,Cuiry-lès-Iviers,97578.33333333333
2252,Cuissy-et-Geny,26500.0
2253,Cuisy-en-Almont,167865.7142857143
2254,Cutry,163816.66666666666
2255,Cys-la-Commune,128475.0
2256,Dagny-Lambercy,94630.76923076923
2257,Dallon,186109.59259259258
2258,Dammard,169730.65217391305
2259,Dampleux,255941.35416666666
2260,Danizy,98980.85960000001
2261,Dercy,88517.15
2262,Deuillet,159296.7741935484
2263,Dhuizel,171283.80952380953
2264,Dizy-le-Gros,77596.29651162791
2265,Dohis,71250.0
2266,Dolignon,180642.85714285713
2267,Dommiers,183131.4814814815
2268,Domptin,187532.96739130435
2269,Dorengt,150466.66666666666
2270,Douchy,79289.47368421052
2271,Dravegny,183209.8260869565
2272,Droizy,124469.48148148147
2273,Dury,168085.2857142857
2274,Ébouleau,102743.47826086957
2275,Effry,64817.64705882353
2276,Englancourt,79577.8947368421
2277,Épagny,207225.95238095237
2278,Éparcy,51000.0
2279,Épaux-Bézu,199376.65277777778
2280,Épieds,174271.0888888889
2281,L'Épine-aux-Bois,174913.72549019608
2282,Eppes,111533.83928571429
2283,Erlon,102707.23809523809
2284,Erloy,96527.48717948717
2286,Esquéhéries,96216.86111111111
2287,Essigny-le-Grand,165447.222238806
2288,Essigny-le-Petit,135043.90625
2289,Essises,147818.85507246378
2290,Essômes-sur-Marne,188327.80503144654
2291,Estrées,76716.98075471698
2292,Étampes-sur-Marne,164977.44918128653
2293,Étaves-et-Bocquiaux,79308.88888888889
2294,Étouvelles,140428.57142857142
2295,Étréaupont,94366.66666666667
2296,Étreillers,216579.98
2297,Étrépilly,172285.7142857143
2298,Étreux,105828.17307692308
2299,Évergnicourt,135825.6923076923
2302,Faverolles,237289.94915254237
2303,Fayet,605557.4745081967
2304,La Fère,93084.05347593583
2305,Fère-en-Tardenois,137874.87473498232
2306,La Ferté-Chevresis,96565.21739130435
2307,La Ferté-Milon,203394.17933130698
2308,Fesmy-le-Sart,139687.92258064516
2309,Festieux,119977.77777777778
2310,Fieulaine,130985.18518518518
2311,Filain,139090.9090909091
2312,La Flamengrie,118476.71264367815
2313,Flavigny-le-Grand-et-Beaurain,145643.25383561643
2315,Flavy-le-Martel,123483.9357429719
2316,Fleury,152530.1923076923
2317,Fluquières,131214.63414634147
2318,Folembray,120382.08695652174
2319,Fonsomme,110969.92307692308
2320,Fontaine-lès-Clercs,121217.64705882352
2321,Fontaine-lès-Vervins,154064.8854961832
2322,Fontaine-Notre-Dame,112390.78947368421
2323,Fontaine-Uterte,145423.63636363635
2324,Fontenelle,115280.0
2326,Fontenoy,240366.66666666666
2327,Foreste,102370.27777777778
2328,Fossoy,188982.48857142855
2329,Fourdrain,110675.0
2330,Francilly-Selency,176691.72972972973
2331,Franqueville,92173.91304347826
2332,Fresnes-en-Tardenois,105109.375
2333,Fresnes-sous-Coucy,97041.26923076923
2334,Fresnoy-le-Grand,94889.33333333333
2335,Fressancourt,121684.21052631579
2336,Frières-Faillouël,131610.1081521739
2337,Froidestrées,113342.85714285714
2338,Froidmont-Cohartille,87278.33333333333
2339,Gandelu,156728.77272727274
2340,Gauchy,133946.31954887218
2341,Gercy,85352.94117647059
2342,Gergny,126900.0
2343,Germaine,168450.0
2345,Gibercourt,219714.2857142857
2346,Gizy,127308.79120879121
2347,Gland,232576.55172413794
2349,Goudelancourt-lès-Berrieux,120312.5
2350,Goudelancourt-lès-Pierrepont,127260.83333333333
2351,Goussancourt,177896.58536585365
2352,Gouy,109375.575
2353,Grandlup-et-Fay,99245.16129032258
2354,Grandrieux,91623.07692307692
2355,Gricourt,144353.76623376625
2356,Grisolles,105640.71428571429
2357,Gronard,133758.125
2358,Grougis,77291.8918918919
2359,Grugies,98086.98214285714
2360,Villeneuve-sur-Aisne,173075.93203883496
2361,Guise,101926.26612554114
2362,Guivry,108187.62666666666
2363,Guny,130778.00892857143
2364,Guyencourt,149511.42857142858
2366,Hannapes,81393.36538461539
2367,Happencourt,133440.0
